"ProbeID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","diffexpressed"
"205019_s_at",-1.48323446570054,6.41502715143434,-10.2721143362993,4.04447893100851e-20,4.01602050653032e-17,35.0374102079168,"VIPR1","DOWN"
"206424_at",-3.18650644796393,5.8113557874697,-10.269365812832,4.12039849371251e-20,4.01834505244859e-17,35.0192983760901,"CYP26A1","DOWN"
"217133_x_at",-2.36206161556831,6.71099248021717,-10.1775409666874,7.66317505618423e-20,7.21567205764464e-17,34.4150221689464,"CYP2B6","DOWN"
"1569203_at",-2.21719498276284,5.00399064164646,-10.0716947931316,1.56362847902992e-19,1.42324070208768e-16,33.7204968503288,"CXCL2","DOWN"
"221529_s_at",2.25516986105574,8.06112924439394,10.072626297933,1.55386070947332e-19,1.42324070208768e-16,33.7265993805632,"PLVAP","UP"
"1553296_at",-2.72239998152131,4.92274008945455,-10.039224297883,1.94514221864032e-19,1.74147626207547e-16,33.5078834092772,"ADGRG7","DOWN"
"209268_at",1.60905394935191,7.93227678041919,10.0176542024915,2.24846768963534e-19,1.98057364409766e-16,33.3667628290724,"VPS45","UP"
"223593_at",-2.34761917765246,6.33368740484848,-10.0147056614762,2.29343477372888e-19,1.9881167190104e-16,33.3474796209782,"AADAT","DOWN"
"241255_at",-1.99159332617704,4.13156657090909,-9.92795969470445,4.10333103026112e-19,3.50148777430704e-16,32.7809733091076,"CTNNA3","DOWN"
"1563658_a_at",-1.21225432030929,4.37756984506566,-9.87713208608593,5.76567604546837e-19,4.84432101340253e-16,32.4497723599072,"SYT9","DOWN"
"1553513_at",-1.0758568542929,3.40974518671717,-9.8423701760058,7.27334262816807e-19,6.01847062048702e-16,32.223577543474,"VNN3P","DOWN"
"203213_at",3.39080060454536,7.67906606226768,9.83983984685676,7.39729461968709e-19,6.02967837410404e-16,32.2071229953202,"CDK1","UP"
"1556451_at",-1.21313751613224,4.54211933488384,-9.77770730394651,1.1196606611473e-18,8.84768701176853e-16,31.8035204157871,NA,"DOWN"
"219918_s_at",3.96429648489289,7.7145180234798,9.7757912501484,1.134048836035e-18,8.84768701176853e-16,31.7910876219636,"ASPM","UP"
"219059_s_at",-2.31279665096502,5.66310741973232,-9.75619395240951,1.29219647188563e-18,9.93953886184365e-16,31.6639727290581,"LYVE1","DOWN"
"209773_s_at",3.42984943682514,8.38355037561111,9.73790585996536,1.45949848011838e-18,1.10704986798202e-15,31.5454275038394,"RRM2","UP"
"200855_at",-1.32027695119235,6.26325930502525,-9.71037082465066,1.75287660677123e-18,1.31136780993968e-15,31.3670852483496,"NCOR1","DOWN"
"204026_s_at",2.90271512126011,7.93459755402525,9.66846521362218,2.3156329049412e-18,1.65144434851493e-15,31.0959979965689,"ZWINT","UP"
"241298_x_at",-1.70070602092022,4.17435462710101,-9.66763668818855,2.32840559639005e-18,1.65144434851493e-15,31.0906423411943,NA,"DOWN"
"209470_s_at",-2.49736677751475,4.05475018506061,-9.63625862963102,2.86735210564623e-18,1.99994963651473e-15,30.8879292508097,"GPM6A","DOWN"
"233645_s_at",-1.23431537203498,7.23231785040404,-9.63491521486156,2.89301121133547e-18,1.99994963651473e-15,30.8792554455021,"C1RL","DOWN"
"205890_s_at",3.84551344904153,11.3170357147323,9.61579013262453,3.2840600815983e-18,2.19460728019365e-15,30.7558195107536,"UBD","UP"
"205890_s_at",3.84551344904153,11.3170357147323,9.61579013262453,3.2840600815983e-18,2.19460728019365e-15,30.7558195107536,"GABBR1","UP"
"207584_at",-3.63705740081202,6.82457890363131,-9.61843773233175,3.22694015559394e-18,2.19460728019365e-15,30.7729023679943,"LPA","DOWN"
"202670_at",-1.3716059112459,8.64220006748485,-9.60602113897315,3.50365597305772e-18,2.30536341754942e-15,30.6928022344866,"MAP2K1","DOWN"
"210524_x_at",-3.40994947236612,8.29067244444949,-9.60005692223628,3.64484195134439e-18,2.3697113510568e-15,30.6543396675455,NA,"DOWN"
"218585_s_at",3.32984363383278,6.89888259034849,9.57972318098646,4.17008622897684e-18,2.67930493203662e-15,30.5232729668514,"DTL","UP"
"39249_at",-1.25628998226995,6.92937576370202,-9.53969138477238,5.43405360593878e-18,3.37238601796744e-15,30.2655253227471,"AQP3","DOWN"
"210909_x_at",-1.66050997109617,5.05192217236869,-9.53419239947862,5.63514246857015e-18,3.41946706262247e-15,30.2301497876959,"LPAL2","DOWN"
"218252_at",2.31098157438252,6.62461393835354,9.53545791351208,5.58821892989165e-18,3.41946706262247e-15,30.2382903221088,"CKAP2","UP"
